Index | Bit-true Hex Real | Bit-true Hex Imag | Int Real | Int Imag
 264  | FFEE             | FFFD             |    -18   |     -3
 265  | FFE9             | 0001             |    -23   |      1
 266  | FFED             | 0001             |    -19   |      1
 267  | FFEC             | FFF7             |    -20   |     -9
 268  | FFEA             | 0006             |    -22   |      6
 269  | FFEB             | FFF9             |    -21   |     -7
 270  | FFE8             | FFFB             |    -24   |     -5
 271  | FFDF             | FFEF             |    -33   |    -17
 272  | 000A             | FFE9             |     10   |    -23
 273  | FFEF             | 0006             |    -17   |      6
 274  | FFF1             | FFFC             |    -15   |     -4
 275  | FFFA             | FFFD             |     -6   |     -3
 276  | FFEB             | FFFB             |    -21   |     -5
 277  | FFF3             | 0005             |    -13   |      5
 278  | FFF2             | FFFB             |    -14   |     -5
 279  | FFEF             | FFFE             |    -17   |     -2
 280  | FFEE             | FFFF             |    -18   |     -1
 281  | FFF2             | 0000             |    -14   |      0
 282  | FFF4             | FFFB             |    -12   |     -5
 283  | FFE8             | FFFD             |    -24   |     -3
 284  | FFF3             | 0003             |    -13   |      3
 285  | FFF5             | FFF7             |    -11   |     -9
 286  | FFEC             | FFFD             |    -20   |     -3
 287  | FFF1             | 0003             |    -15   |      3
 288  | FFF5             | FFFC             |    -11   |     -4
 289  | FFEF             | FFFB             |    -17   |     -5
 290  | FFF0             | 0002             |    -16   |      2
 291  | FFF5             | FFF9             |    -11   |     -7
 292  | FFF0             | 0003             |    -16   |      3
 293  | FFFE             | FFFD             |     -2   |     -3
 294  | FFEC             | 000A             |    -20   |     10
 295  | FFF0             | 001C             |    -16   |     28
 296  | FFDE             | FFE2             |    -34   |    -30
 297  | FFED             | 0013             |    -19   |     19
 298  | FFEE             | FFF6             |    -18   |    -10
 299  | FFEC             | FFFC             |    -20   |     -4
 300  | FFE9             | FFFD             |    -23   |     -3
 301  | FFF2             | FFFF             |    -14   |     -1
 302  | FFE9             | FFFB             |    -23   |     -5
 303  | FFF2             | FFFC             |    -14   |     -4
 304  | FFEB             | FFFC             |    -21   |     -4
 305  | FFF1             | FFFE             |    -15   |     -2
 306  | FFEE             | FFFB             |    -18   |     -5
 307  | FFF2             | FFFF             |    -14   |     -1
 308  | FFEE             | FFFE             |    -18   |     -2
 309  | FFEE             | FFFC             |    -18   |     -4
 310  | FFEE             | FFFD             |    -18   |     -3
 311  | FFF0             | FFFD             |    -16   |     -3
 312  | FFEF             | FFFA             |    -17   |     -6
 313  | FFEE             | FFFE             |    -18   |     -2
 314  | FFF1             | FFFB             |    -15   |     -5
 315  | FFEC             | FFFC             |    -20   |     -4
 316  | FFF0             | 0001             |    -16   |      1
 317  | FFF1             | FFF8             |    -15   |     -8
 318  | FFEA             | FFFF             |    -22   |     -1
 319  | FFF4             | FFFE             |    -12   |     -2
 320  | FFED             | FFF9             |    -19   |     -7
 321  | FFF2             | FFFF             |    -14   |     -1
 322  | FFEF             | FFFB             |    -17   |     -5
 323  | FFEF             | FFFF             |    -17   |     -1
 324  | FFEE             | FFFC             |    -18   |     -4
 325  | FFF1             | FFF7             |    -15   |     -9
 326  | FFF6             | 0005             |    -10   |      5
 327  | FFE7             | FFFD             |    -25   |     -3
 328  | FFF0             | FFFA             |    -16   |     -6
 329  | FFF0             | FFFE             |    -16   |     -2
 330  | FFF0             | FFFB             |    -16   |     -5
 331  | FFEE             | FFFD             |    -18   |     -3
 332  | FFEF             | FFFB             |    -17   |     -5
 333  | FFF1             | FFFD             |    -15   |     -3
 334  | FFF0             | FFFA             |    -16   |     -6
 335  | FFEE             | FFFE             |    -18   |     -2
 336  | FFF4             | FFFC             |    -12   |     -4
 337  | FFED             | FFF9             |    -19   |     -7
 338  | FFF2             | 0001             |    -14   |      1
 339  | FFF1             | FFF9             |    -15   |     -7
 340  | FFEE             | FFFB             |    -18   |     -5
 341  | FFF6             | 0001             |    -10   |      1
 342  | FFF4             | FFFE             |    -12   |     -2
 343  | FFE8             | 000B             |    -24   |     11
 344  | FFE7             | FFF7             |    -25   |     -9
 345  | FFED             | FFFC             |    -19   |     -4
 346  | FFE8             | FFF7             |    -24   |     -9
 347  | FFF2             | FFF7             |    -14   |     -9
 348  | FFEE             | FFFB             |    -18   |     -5
 349  | FFF0             | FFF9             |    -16   |     -7
 350  | FFEF             | FFFA             |    -17   |     -6
 351  | FFF0             | FFFA             |    -16   |     -6
 352  | FFF0             | FFFA             |    -16   |     -6
 353  | FFF1             | FFFA             |    -15   |     -6
 354  | FFEF             | FFF9             |    -17   |     -7
 355  | FFF0             | FFFA             |    -16   |     -6
 356  | FFF0             | FFFB             |    -16   |     -5
 357  | FFF2             | FFFA             |    -14   |     -6
 358  | FFF1             | FFFA             |    -15   |     -6
 359  | FFF0             | FFFA             |    -16   |     -6
 360  | FFF0             | FFFB             |    -16   |     -5
 361  | FFF1             | FFFB             |    -15   |     -5
 362  | FFF0             | FFFA             |    -16   |     -6
 363  | FFF1             | FFF8             |    -15   |     -8
 364  | FFF1             | FFFA             |    -15   |     -6
 365  | FFF3             | FFFA             |    -13   |     -6
 366  | FFED             | FFFA             |    -19   |     -6
 367  | FFF5             | FFF7             |    -11   |     -9
 368  | FFF7             | FFFC             |     -9   |     -4
 369  | FFEB             | 0000             |    -21   |      0
 370  | FFF5             | FFF9             |    -11   |     -7
 371  | FFED             | FFFB             |    -19   |     -5
 372  | FFF1             | FFFE             |    -15   |     -2
 373  | FFF1             | FFF8             |    -15   |     -8
 374  | FFEE             | FFFB             |    -18   |     -5
 375  | FFF2             | FFFB             |    -14   |     -5
 376  | FFF0             | FFF9             |    -16   |     -7
 377  | FFF1             | FFFA             |    -15   |     -6
 378  | FFF1             | FFF9             |    -15   |     -7
 379  | FFF1             | FFF9             |    -15   |     -7
 380  | FFF1             | FFF9             |    -15   |     -7
 381  | FFF2             | FFFA             |    -14   |     -6
 382  | FFF0             | FFFA             |    -16   |     -6
 383  | FFF1             | FFF9             |    -15   |     -7
 384  | FFF0             | FFFA             |    -16   |     -6
 385  | FFF2             | FFF7             |    -14   |     -9
 386  | FFF5             | FFFA             |    -11   |     -6
 387  | FFF1             | FFFB             |    -15   |     -5
 388  | FFF2             | FFFA             |    -14   |     -6
 389  | FFF1             | FFFA             |    -15   |     -6
 390  | FFF1             | FFFA             |    -15   |     -6
 391  | FFF1             | FFFA             |    -15   |     -6
 392  | FFF2             | FFF9             |    -14   |     -7
 393  | FFF2             | FFF9             |    -14   |     -7
 394  | FFF2             | FFF8             |    -14   |     -8
 395  | FFF2             | FFFA             |    -14   |     -6
 396  | FFF3             | FFF9             |    -13   |     -7
 397  | FFF3             | FFFB             |    -13   |     -5
 398  | FFF1             | FFF9             |    -15   |     -7
 399  | FFF3             | FFF7             |    -13   |     -9
 400  | FFF2             | FFFB             |    -14   |     -5
 401  | FFF1             | FFF9             |    -15   |     -7
 402  | FFF2             | FFF9             |    -14   |     -7
 403  | FFF1             | FFF9             |    -15   |     -7
 404  | FFF2             | FFF8             |    -14   |     -8
 405  | FFF2             | FFF9             |    -14   |     -7
 406  | FFF3             | FFF9             |    -13   |     -7
 407  | FFF2             | FFF9             |    -14   |     -7
 408  | FFF3             | FFF8             |    -13   |     -8
 409  | FFF3             | FFF9             |    -13   |     -7
 410  | FFF3             | FFF9             |    -13   |     -7
 411  | FFF3             | FFF9             |    -13   |     -7
 412  | FFF2             | FFF9             |    -14   |     -7
 413  | FFF3             | FFF9             |    -13   |     -7
 414  | FFF3             | FFFA             |    -13   |     -6
 415  | FFF3             | FFFA             |    -13   |     -6
 416  | FFF1             | FFF8             |    -15   |     -8
 417  | FFF2             | FFF9             |    -14   |     -7
 418  | FFF2             | FFF8             |    -14   |     -8
 419  | FFF3             | FFF7             |    -13   |     -9
 420  | FFF4             | FFF8             |    -12   |     -8
 421  | FFF2             | FFF8             |    -14   |     -8
 422  | FFF4             | FFFA             |    -12   |     -6
 423  | FFF2             | FFFA             |    -14   |     -6
 424  | FFF3             | FFF7             |    -13   |     -9
 425  | FFF3             | FFFA             |    -13   |     -6
 426  | FFF1             | FFF9             |    -15   |     -7
 427  | FFF3             | FFF8             |    -13   |     -8
 428  | FFF3             | FFF8             |    -13   |     -8
 429  | FFF2             | FFF8             |    -14   |     -8
 430  | FFF2             | FFF8             |    -14   |     -8
 431  | FFF2             | FFF9             |    -14   |     -7
 432  | FFF2             | FFF6             |    -14   |    -10
 433  | FFF4             | FFF8             |    -12   |     -8
 434  | FFF3             | FFF9             |    -13   |     -7
 435  | FFF3             | FFF8             |    -13   |     -8
 436  | FFF2             | FFF7             |    -14   |     -9
 437  | FFF3             | FFF8             |    -13   |     -8
 438  | FFF2             | FFF6             |    -14   |    -10
 439  | FFF6             | FFF9             |    -10   |     -7
 440  | FFF0             | FFFB             |    -16   |     -5
 441  | FFF2             | FFF4             |    -14   |    -12
 442  | FFF5             | FFF9             |    -11   |     -7
 443  | FFF3             | FFF9             |    -13   |     -7
 444  | FFF3             | FFF9             |    -13   |     -7
 445  | FFF0             | FFF6             |    -16   |    -10
 446  | FFF6             | FFF5             |    -10   |    -11
 447  | FFF7             | FFFC             |     -9   |     -4
 448  | FFF1             | FFFA             |    -15   |     -6
 449  | FFF3             | FFF8             |    -13   |     -8
 450  | FFF2             | FFF8             |    -14   |     -8
 451  | FFF3             | FFF8             |    -13   |     -8
 452  | FFF3             | FFF7             |    -13   |     -9
 453  | FFF4             | FFF8             |    -12   |     -8
 454  | FFF3             | FFF7             |    -13   |     -9
 455  | FFF4             | FFF7             |    -12   |     -9
 456  | FFF3             | FFF7             |    -13   |     -9
 457  | FFF3             | FFF7             |    -13   |     -9
 458  | FFF3             | FFF7             |    -13   |     -9
 459  | FFF4             | FFF7             |    -12   |     -9
 460  | FFF4             | FFF8             |    -12   |     -8
 461  | FFF3             | FFF7             |    -13   |     -9
 462  | FFF4             | FFF7             |    -12   |     -9
 463  | FFF4             | FFF7             |    -12   |     -9
 464  | FFF3             | FFF7             |    -13   |     -9
 465  | FFF4             | FFF7             |    -12   |     -9
 466  | FFF4             | FFF6             |    -12   |    -10
 467  | FFF5             | FFF7             |    -11   |     -9
 468  | FFF5             | FFF7             |    -11   |     -9
 469  | FFF4             | FFF9             |    -12   |     -7
 470  | FFF4             | FFF8             |    -12   |     -8
 471  | FFF3             | FFF8             |    -13   |     -8
 472  | FFF4             | FFF6             |    -12   |    -10
 473  | FFF4             | FFFA             |    -12   |     -6
 474  | FFEF             | FFF6             |    -17   |    -10
 475  | FFF5             | FFF4             |    -11   |    -12
 476  | FFF4             | FFF7             |    -12   |     -9
 477  | FFF4             | FFF5             |    -12   |    -11
 478  | FFF4             | FFF6             |    -12   |    -10
 479  | FFF4             | FFF4             |    -12   |    -12
 480  | FFF7             | FFF5             |     -9   |    -11
 481  | FFF5             | FFF6             |    -11   |    -10
 482  | FFF9             | FFF7             |     -7   |     -9
 483  | FFF4             | FFFB             |    -12   |     -5
 484  | FFF2             | FFF6             |    -14   |    -10
 485  | FFF5             | FFF7             |    -11   |     -9
 486  | FFF4             | FFF6             |    -12   |    -10
 487  | FFF5             | FFF7             |    -11   |     -9
 488  | FFF5             | FFF7             |    -11   |     -9
 489  | FFF4             | FFF7             |    -12   |     -9
 490  | FFF5             | FFF6             |    -11   |    -10
 491  | FFF5             | FFF7             |    -11   |     -9
 492  | FFF5             | FFF6             |    -11   |    -10
 493  | FFF5             | FFF6             |    -11   |    -10
 494  | FFF5             | FFF6             |    -11   |    -10
 495  | FFF5             | FFF6             |    -11   |    -10
 496  | FFF5             | FFF7             |    -11   |     -9
 497  | FFF5             | FFF7             |    -11   |     -9
 498  | FFF3             | FFF6             |    -13   |    -10
 499  | FFF3             | FFF5             |    -13   |    -11
 500  | FFF4             | FFF5             |    -12   |    -11
 501  | FFF5             | FFF6             |    -11   |    -10
 502  | FFF5             | FFF6             |    -11   |    -10
 503  | FFF6             | FFF6             |    -10   |    -10
 504  | FFF6             | FFF6             |    -10   |    -10
 505  | FFF5             | FFF6             |    -11   |    -10
 506  | FFF5             | FFF6             |    -11   |    -10
 507  | FFF5             | FFF6             |    -11   |    -10
 508  | FFF5             | FFF6             |    -11   |    -10
 509  | FFF5             | FFF6             |    -11   |    -10
 510  | FFF5             | FFF6             |    -11   |    -10
 511  | FFF6             | FFF6             |    -10   |    -10
 512  | FFF5             | FFF5             |    -11   |    -11
 513  | FFF6             | FFF6             |    -10   |    -10
 514  | FFF7             | FFF7             |     -9   |     -9
 515  | FFF6             | FFF7             |    -10   |     -9
 516  | FFF6             | FFF7             |    -10   |     -9
 517  | FFF5             | FFF6             |    -11   |    -10
 518  | FFF6             | FFF6             |    -10   |    -10
 519  | FFF6             | FFF6             |    -10   |    -10
 520  | FFF6             | FFF7             |    -10   |     -9
 521  | FFF6             | FFF7             |    -10   |     -9
 522  | FFF6             | FFF6             |    -10   |    -10
 523  | FFF6             | FFF6             |    -10   |    -10
 524  | FFF6             | FFF6             |    -10   |    -10
 525  | FFF4             | FFF6             |    -12   |    -10
 526  | FFF7             | FFF6             |     -9   |    -10
 527  | FFF2             | FFF8             |    -14   |     -8
 528  | FFF6             | FFF0             |    -10   |    -16
 529  | FFFB             | FFF8             |     -5   |     -8
 530  | FFF4             | FFF6             |    -12   |    -10
 531  | FFF8             | FFF5             |     -8   |    -11
 532  | FFF6             | FFF6             |    -10   |    -10
 533  | FFF7             | FFF6             |     -9   |    -10
 534  | FFF5             | FFF7             |    -11   |     -9
 535  | FFF6             | FFF3             |    -10   |    -13
 536  | FFF9             | FFF7             |     -7   |     -9
 537  | FFF2             | FFF8             |    -14   |     -8
 538  | FFF5             | FFF0             |    -11   |    -16
 539  | FFFB             | FFF4             |     -5   |    -12
 540  | FFF5             | FFF7             |    -11   |     -9
 541  | FFF7             | FFF4             |     -9   |    -12
 542  | FFF8             | FFF5             |     -8   |    -11
 543  | FFF8             | FFF6             |     -8   |    -10
 544  | FFF4             | FFF7             |    -12   |     -9
 545  | FFF7             | FFF2             |     -9   |    -14
 546  | FFFA             | FFF8             |     -6   |     -8
 547  | FFF4             | FFF5             |    -12   |    -11
 548  | FFF8             | FFF3             |     -8   |    -13
 549  | FFF7             | FFF9             |     -9   |     -7
 550  | FFF2             | FFF5             |    -14   |    -11
 551  | FFF6             | FFF2             |    -10   |    -14
 552  | FFF6             | FFF3             |    -10   |    -13
 553  | FFF8             | FFF1             |     -8   |    -15
 554  | FFFB             | FFF6             |     -5   |    -10
 555  | FFF5             | FFF6             |    -11   |    -10
 556  | FFF7             | FFF3             |     -9   |    -13
 557  | FFF7             | FFF4             |     -9   |    -12
 558  | FFF7             | FFF4             |     -9   |    -12
 559  | FFF7             | FFF4             |     -9   |    -12
 560  | FFF7             | FFF4             |     -9   |    -12
 561  | FFF7             | FFF4             |     -9   |    -12
 562  | FFF7             | FFF4             |     -9   |    -12
 563  | FFF5             | FFF2             |    -11   |    -14
 564  | FFFB             | FFF2             |     -5   |    -14
 565  | FFF6             | FFF8             |    -10   |     -8
 566  | FFF6             | FFF3             |    -10   |    -13
 567  | FFF7             | FFF3             |     -9   |    -13
 568  | FFFA             | FFF3             |     -6   |    -13
 569  | FFF4             | FFF6             |    -12   |    -10
 570  | FFF8             | FFF0             |     -8   |    -16
 571  | FFFA             | FFF8             |     -6   |     -8
 572  | FFF3             | FFF3             |    -13   |    -13
 573  | FFFA             | FFF2             |     -6   |    -14
 574  | FFF7             | FFF5             |     -9   |    -11
 575  | FFF8             | FFF3             |     -8   |    -13
 576  | FFF7             | FFF4             |     -9   |    -12
 577  | FFF7             | FFF2             |     -9   |    -14
 578  | FFF7             | FFF4             |     -9   |    -12
 579  | FFF8             | FFEF             |     -8   |    -17
 580  | FFFE             | FFF3             |     -2   |    -13
 581  | FFF7             | FFF6             |     -9   |    -10
 582  | FFF8             | FFF3             |     -8   |    -13
 583  | FFF9             | FFF5             |     -7   |    -11
 584  | FFF8             | FFF3             |     -8   |    -13
 585  | FFF7             | FFF3             |     -9   |    -13
 586  | FFF6             | FFF2             |    -10   |    -14
 587  | FFF9             | FFF1             |     -7   |    -15
 588  | FFFA             | FFF1             |     -6   |    -15
 589  | FFFB             | FFF2             |     -5   |    -14
 590  | FFF7             | FFF4             |     -9   |    -12
 591  | FFFA             | FFEE             |     -6   |    -18
 592  | FFFE             | FFF4             |     -2   |    -12
 593  | FFFA             | FFF4             |     -6   |    -12
 594  | FFFB             | FFF4             |     -5   |    -12
 595  | FFFA             | FFF4             |     -6   |    -12
 596  | FFFC             | FFF7             |     -4   |     -9
 597  | FFF5             | FFF8             |    -11   |     -8
 598  | FFF7             | FFF0             |     -9   |    -16
 599  | FFFB             | FFF1             |     -5   |    -15
 600  | FFFB             | FFF5             |     -5   |    -11
 601  | FFFC             | FFF5             |     -4   |    -11
 602  | FFFB             | FFF9             |     -5   |     -7
 603  | FFF7             | FFF7             |     -9   |     -9
 604  | FFF6             | FFF7             |    -10   |     -9
 605  | FFF2             | FFF5             |    -14   |    -11
 606  | FFF6             | FFEF             |    -10   |    -17
 607  | FFF8             | FFF3             |     -8   |    -13
 608  | FFF7             | FFF1             |     -9   |    -15
 609  | FFFA             | FFF2             |     -6   |    -14
 610  | FFF9             | FFF3             |     -7   |    -13
 611  | FFF9             | FFF2             |     -7   |    -14
 612  | FFF8             | FFF2             |     -8   |    -14
 613  | FFF9             | FFF3             |     -7   |    -13
 614  | FFF9             | FFF3             |     -7   |    -13
 615  | FFF9             | FFF3             |     -7   |    -13
 616  | FFF9             | FFF2             |     -7   |    -14
 617  | FFF9             | FFF3             |     -7   |    -13
 618  | FFF8             | FFF2             |     -8   |    -14
 619  | FFF9             | FFF2             |     -7   |    -14
 620  | FFF9             | FFF2             |     -7   |    -14
 621  | FFF9             | FFF2             |     -7   |    -14
 622  | FFF9             | FFF2             |     -7   |    -14
 623  | FFF9             | FFF2             |     -7   |    -14
 624  | FFF9             | FFF2             |     -7   |    -14
 625  | FFF9             | FFF2             |     -7   |    -14
 626  | FFF9             | FFF2             |     -7   |    -14
 627  | FFF9             | FFF2             |     -7   |    -14
 628  | FFF9             | FFF1             |     -7   |    -15
 629  | FFF9             | FFF1             |     -7   |    -15
 630  | FFFA             | FFF3             |     -6   |    -13
 631  | FFFA             | FFF2             |     -6   |    -14
 632  | FFF9             | FFF2             |     -7   |    -14
 633  | FFF9             | FFF2             |     -7   |    -14
 634  | FFF9             | FFF1             |     -7   |    -15
 635  | FFFA             | FFF2             |     -6   |    -14
 636  | FFF9             | FFF1             |     -7   |    -15
 637  | FFF9             | FFF2             |     -7   |    -14
 638  | FFF9             | FFF1             |     -7   |    -15
 639  | FFFB             | FFF1             |     -5   |    -15
 640  | FFF9             | FFF1             |     -7   |    -15
 641  | FFFA             | FFF1             |     -6   |    -15
 642  | FFF9             | FFF2             |     -7   |    -14
 643  | FFFB             | FFF2             |     -5   |    -14
 644  | FFFA             | FFF0             |     -6   |    -16
 645  | FFFA             | FFF1             |     -6   |    -15
 646  | FFF9             | FFF2             |     -7   |    -14
 647  | FFFD             | FFF0             |     -3   |    -16
 648  | FFF5             | FFED             |    -11   |    -19
 649  | FFFF             | FFF8             |     -1   |     -8
 650  | FFFE             | FFE5             |     -2   |    -27
 651  | FFF1             | FFF4             |    -15   |    -12
 652  | 0007             | FFF7             |      7   |     -9
 653  | FFF9             | FFDD             |     -7   |    -35
 654  | FFF5             | 0003             |    -11   |      3
 655  | 0018             | FFD7             |     24   |    -41
 656  | 0003             | 000D             |      3   |     13
 657  | FFEC             | 0006             |    -20   |      6
 658  | FFFC             | FFE9             |     -4   |    -23
 659  | FFEF             | FFFA             |    -17   |     -6
 660  | FFFC             | FFEE             |     -4   |    -18
 661  | FFF6             | FFF4             |    -10   |    -12
 662  | FFFA             | FFEE             |     -6   |    -18
 663  | FFF8             | FFF5             |     -8   |    -11
 664  | FFF9             | FFF0             |     -7   |    -16
 665  | FFF7             | FFF1             |     -9   |    -15
 666  | FFF9             | FFEF             |     -7   |    -17
 667  | FFF8             | FFF3             |     -8   |    -13
 668  | FFF8             | FFEE             |     -8   |    -18
 669  | FFF8             | FFF1             |     -8   |    -15
 670  | FFF8             | FFEF             |     -8   |    -17
 671  | FFF7             | FFF0             |     -9   |    -16
 672  | FFF8             | FFED             |     -8   |    -19
 673  | FFF6             | FFF0             |    -10   |    -16
 674  | FFF9             | FFED             |     -7   |    -19
 675  | FFF2             | FFEF             |    -14   |    -17
 676  | FFF9             | FFE7             |     -7   |    -25
 677  | FFED             | FFF6             |    -19   |    -10
 678  | FFEF             | FFD0             |    -17   |    -48
 679  | 0003             | FFE6             |      3   |    -26
 680  | FFEE             | FFCD             |    -18   |    -51
 681  | 003B             | FFD0             |     59   |    -48
 682  | 000A             | 0006             |     10   |      6
 683  | 000C             | 0003             |     12   |      3
 684  | 0003             | FFEA             |      3   |    -22
 685  | FFF4             | FFFD             |    -12   |     -3
 686  | 000F             | FFF9             |     15   |     -7
 687  | FFF4             | FFE7             |    -12   |    -25
 688  | FFFE             | 0002             |     -2   |      2
 689  | 0005             | FFEB             |      5   |    -21
 690  | FFF5             | FFF4             |    -11   |    -12
 691  | 0003             | FFF4             |      3   |    -12
 692  | FFFC             | FFF2             |     -4   |    -14
 693  | FFFF             | FFF1             |     -1   |    -15
 694  | FFF9             | FFF4             |     -7   |    -12
 695  | 0000             | FFF3             |      0   |    -13
 696  | FFF2             | FFF5             |    -14   |    -11
 697  | FFFD             | FFD4             |     -3   |    -44
 698  | 001A             | 0008             |     26   |      8
 699  | FFEB             | FFF7             |    -21   |     -9
 700  | FFF9             | FFF0             |     -7   |    -16
 701  | 0000             | FFF0             |      0   |    -16
 702  | FFF5             | FFEF             |    -11   |    -17
 703  | 0006             | FFF4             |      6   |    -12
 704  | FFF3             | FFE6             |    -13   |    -26
 705  | 0001             | 0001             |      1   |      1
 706  | 0003             | FFE1             |      3   |    -31
 707  | FFEF             | FFF7             |    -17   |     -9
 708  | 0009             | FFF4             |      9   |    -12
 709  | FFFA             | FFE6             |     -6   |    -26
 710  | FFF9             | FFF9             |     -7   |     -7
 711  | 0004             | FFED             |      4   |    -19
 712  | FFF6             | FFEF             |    -10   |    -17
 713  | FFFF             | FFF0             |     -1   |    -16
 714  | FFFC             | FFEF             |     -4   |    -17
 715  | FFFE             | FFEF             |     -2   |    -17
 716  | FFFB             | FFEE             |     -5   |    -18
 717  | FFFF             | FFF0             |     -1   |    -16
 718  | FFF9             | FFEB             |     -7   |    -21
