Index | Bit-true Hex Real | Bit-true Hex Imag | Int Real | Int Imag
 853  | 0029             | FFDA             |     41   |    -38
 854  | FFFC             | 0014             |     -4   |     20
 855  | 000E             | FF48             |     14   |   -184
 856  | 00E7             | 006C             |    231   |    108
 857  | FF70             | 0077             |   -144   |    119
 858  | FFEF             | FFDE             |    -17   |    -34
 859  | FF9E             | FFAB             |    -98   |    -85
 860  | 0012             | 004D             |     18   |     77
 861  | FFF0             | FF61             |    -16   |   -159
 862  | FF9A             | 000F             |   -102   |     15
 863  | 003B             | FFE1             |     59   |    -31
 864  | 002C             | FFC4             |     44   |    -60
 865  | FF27             | FFED             |   -217   |    -19
 866  | 0084             | 00B0             |    132   |    176
 867  | FEAE             | FDE6             |   -338   |   -538
 868  | 012D             | 011E             |    301   |    286
 869  | FF6A             | FF4A             |   -150   |   -182
 870  | FF7A             | FFD8             |   -134   |    -40
 871  | FFE2             | FF2A             |    -30   |   -214
 872  | 00A2             | FF80             |    162   |   -128
 873  | FFB1             | FF87             |    -79   |   -121
 874  | 00A9             | FFB2             |    169   |    -78
 875  | 0071             | FFB1             |    113   |    -79
 876  | 001B             | 001C             |     27   |     28
 877  | 0035             | 000E             |     53   |     14
 878  | 004A             | FFE3             |     74   |    -29
 879  | FF7A             | 0055             |   -134   |     85
 880  | FFDF             | FF88             |    -33   |   -120
 881  | 0028             | FF6E             |     40   |   -146
 882  | 000B             | FFF2             |     11   |    -14
 883  | 005E             | FFAA             |     94   |    -86
 884  | 002B             | 0034             |     43   |     52
 885  | FFA5             | FFDD             |    -91   |    -35
 886  | 000B             | FFBA             |     11   |    -70
 887  | 002F             | FFA1             |     47   |    -95
 888  | 0012             | FFD1             |     18   |    -47
 889  | FFF8             | 0052             |     -8   |     82
 890  | 0005             | FE6C             |      5   |   -404
 891  | 0154             | 011E             |    340   |    286
 892  | FF5C             | 0036             |   -164   |     54
 893  | FFDD             | FFF9             |    -35   |     -7
 894  | FFB1             | FFF8             |    -79   |     -8
 895  | FFE0             | 0035             |    -32   |     53
 896  | FF54             | FEDB             |   -172   |   -293
 897  | 0112             | 0046             |    274   |     70
 898  | FF73             | 0102             |   -141   |    258
 899  | FDF1             | FF35             |   -527   |   -203
 900  | 00B0             | FE72             |    176   |   -398
 901  | FFCE             | FFEA             |    -50   |    -22
 902  | 001E             | FF42             |     30   |   -190
 903  | 0010             | FF4A             |     16   |   -182
 904  | 0030             | FFA1             |     48   |    -95
 905  | 008F             | FF82             |    143   |   -126
 906  | FFB4             | FF58             |    -76   |   -168
 907  | 0222             | FF90             |    546   |   -112
 908  | FF3B             | 025B             |   -197   |    603
 909  | FF68             | FEEC             |   -152   |   -276
 910  | FE6E             | 00DF             |   -402   |    223
 911  | FF61             | FEA0             |   -159   |   -352
 912  | FC35             | FD7A             |   -971   |   -646
 913  | 0561             | FAA7             |   1377   |  -1369
 914  | 0187             | 027C             |    391   |    636
 915  | 00BA             | FFFC             |    186   |     -4
 916  | 00B5             | FFC4             |    181   |    -60
 917  | 00A2             | FFED             |    162   |    -19
 918  | 00A7             | 00C5             |    167   |    197
 919  | 0035             | 0044             |     53   |     68
 920  | FFA1             | FF9D             |    -95   |    -99
 921  | 0047             | 0036             |     71   |     54
 922  | 0031             | FF7B             |     49   |   -133
 923  | 00C7             | 0072             |    199   |    114
 924  | FE1C             | FFC7             |   -484   |    -57
 925  | 0153             | FEC6             |    339   |   -314
 926  | 001E             | FF7B             |     30   |   -133
 927  | 00D8             | FFE8             |    216   |    -24
 928  | FFD7             | 0018             |    -41   |     24
 929  | 006D             | FEE7             |    109   |   -281
 930  | 0154             | FF7A             |    340   |   -134
 931  | 00C1             | 00CF             |    193   |    207
 932  | 00A8             | 009B             |    168   |    155
 933  | FF50             | 006A             |   -176   |    106
 934  | FEF1             | FF8F             |   -271   |   -113
 935  | 0183             | FE91             |    387   |   -367
 936  | 0051             | 006E             |     81   |    110
 937  | 005C             | 0026             |     92   |     38
 938  | 004E             | 001C             |     78   |     28
 939  | FF8E             | FF90             |   -114   |   -112
 940  | 008D             | FF61             |    141   |   -159
 941  | 014F             | FF48             |    335   |   -184
 942  | 0120             | 014D             |    288   |    333
 943  | FFA0             | 005A             |    -96   |     90
 944  | 00B8             | 0075             |    184   |    117
 945  | FF73             | 00AF             |   -141   |    175
 946  | 0001             | 008B             |      1   |    139
 947  | FE94             | 000D             |   -364   |     13
 948  | FFE1             | FFF7             |    -31   |     -9
 949  | FE92             | FEC2             |   -366   |   -318
 950  | 0020             | FF5F             |     32   |   -161
 951  | FFBF             | FE8D             |    -65   |   -371
 952  | 0121             | FE21             |    289   |   -479
 953  | 010A             | 00CE             |    266   |    206
 954  | 0084             | FEF8             |    132   |   -264
 955  | 005C             | 0046             |     92   |     70
 956  | 00A2             | FF3A             |    162   |   -198
 957  | 00F2             | FFD6             |    242   |    -42
 958  | 01AB             | 00A0             |    427   |    160
 959  | FE78             | 0151             |   -392   |    337
 960  | 00EB             | FF1A             |    235   |   -230
 961  | FF17             | FFEB             |   -233   |    -21
 962  | 00A0             | FFF3             |    160   |    -13
 963  | 0048             | FF31             |     72   |   -207
 964  | 0061             | FFFC             |     97   |     -4
 965  | 00D7             | 0023             |    215   |     35
 966  | 0051             | 0145             |     81   |    325
 967  | FE7B             | FFCA             |   -389   |    -54
 968  | FFBF             | FFB6             |    -65   |    -74
 969  | FFBB             | FF9F             |    -69   |    -97
 970  | FFB7             | FEF0             |    -73   |   -272
 971  | FFEA             | 007E             |    -22   |    126
 972  | FED7             | FF73             |   -297   |   -141
 973  | FE10             | 0050             |   -496   |     80
 974  | FBF0             | F943             |  -1040   |  -1725
 975  | 060E             | FCB3             |   1550   |   -845
 976  | 00F2             | FFE0             |    242   |    -32
 977  | 00C9             | FDB4             |    201   |   -588
 978  | 00C8             | FEB9             |    200   |   -327
 979  | 0567             | F97E             |   1383   |  -1666
